科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
TOEIC準備 Ⅳ,金1,B8,30人,橋本　将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.501&je_cd=1&lct_idx=A000000000143371
TOEIC準備 Ⅳ,金1,B9,30人,數見　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.502&je_cd=1&lct_idx=A000000000143372
TOEIC準備 Ⅳ,金1,D9,30人,西嶋　愉一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.531&je_cd=1&lct_idx=A000000000143373
TOEIC準備 Ⅳ,金1,C8,30人,西村　周浩,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.532&je_cd=1&lct_idx=A000000000143374
TOEIC準備 Ⅳ,金1,D7,30人,小熊　猛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.533&je_cd=1&lct_idx=A000000000143375
TOEIC準備 Ⅳ,金1,D8,30人,守屋　哲治,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.534&je_cd=1&lct_idx=A000000000143376
TOEIC準備 Ⅳ,金1,D6,30人,河田　英介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.535&je_cd=1&lct_idx=A000000000143377
TOEIC準備 Ⅳ,金1,C6,30人,RAKER VINCENT ERIC,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.571&je_cd=1&lct_idx=A000000000143378
TOEIC準備 Ⅳ,金1,B7,30人,LYNCH GAVIN LEIGH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.572&je_cd=1&lct_idx=A000000000143379
TOEIC準備 Ⅳ,金1,C5,30人,DUGGAN ANTHONY JOHN,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.573&je_cd=1&lct_idx=A000000000143380
TOEIC準備 Ⅳ,金1,D4,30人,CONSOLVO CHARLES GEOFFREY,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.574&je_cd=1&lct_idx=A000000000143381
TOEIC準備 Ⅳ,金1,B5,30人,HAMMOND MARK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.575&je_cd=1&lct_idx=A000000000143382
TOEIC準備 Ⅳ,金1,B6,30人,CURRY CARLA JANE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.576&je_cd=1&lct_idx=A000000000143383
TOEIC準備（演習）,月5,C8,40人,澤田　茂保,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74125.401&je_cd=1&lct_idx=A000000000141433
TOEIC準備（演習）,水5,C3,40人,橋本　将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74125.402&je_cd=1&lct_idx=A000000000141434
EAP Ⅳ,月4,C9,20人,FOX SENAN JAMES,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.201&je_cd=1&lct_idx=A000000000141649
EAP Ⅳ,月4,C8,20人,OGINI ABADA EMEKA HECTOR,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.202&je_cd=1&lct_idx=A000000000141650
EAP Ⅳ,月4,D7,20人,CONSOLVO CHARLES GEOFFREY,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.203&je_cd=1&lct_idx=A000000000141651
EAP Ⅳ,月4,B6,20人,RIVKIN MICHAEL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.204&je_cd=1&lct_idx=A000000000141652
EAP Ⅳ,月4,B9,20人,名取　雅航,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.205&je_cd=1&lct_idx=A000000000141653
EAP Ⅳ,月4,C7,20人,端野　純江,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.206&je_cd=1&lct_idx=A000000000141654
EAP Ⅳ,月4,B7,20人,久保　豊,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.207&je_cd=1&lct_idx=A000000000141655
EAP Ⅳ,月4,B5,20人,渋谷　良方,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.208&je_cd=1&lct_idx=A000000000141656
EAP Ⅳ,月4,D9,20人,森川　智成,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.209&je_cd=1&lct_idx=A000000000141657
EAP Ⅳ,月4,C5,20人,河田　英介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.210&je_cd=1&lct_idx=A000000000141658
EAP Ⅳ,月4,B8,20人,DUSTIN KEELING,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.211&je_cd=1&lct_idx=A000000000141659
EAP Ⅳ,月4,C6,20人,RAKER VINCENT ERIC,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.212&je_cd=1&lct_idx=A000000000141660
EAP Ⅳ,月4,D6,20人,斉木　麻利子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.213&je_cd=1&lct_idx=A000000000141661
EAP Ⅳ,月4,C4,20人,山本　卓,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.214&je_cd=1&lct_idx=A000000000141662
EAP Ⅳ,金2,B8,20人,MICHAEL SIMON RICH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.301&je_cd=1&lct_idx=A000000000141663
EAP Ⅳ,金2,C7,20人,菅野　磨美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.302&je_cd=1&lct_idx=A000000000141664
EAP Ⅳ,金2,C5,20人,DUGGAN ANTHONY JOHN,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.303&je_cd=1&lct_idx=A000000000141665
EAP Ⅳ,金2,D7,20人,森川　智成,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.304&je_cd=1&lct_idx=A000000000141666
EAP Ⅳ,金2,B7,20人,OGINI ABADA EMEKA HECTOR,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.305&je_cd=1&lct_idx=A000000000141667
EAP Ⅳ,金2,C6,20人,RAKER VINCENT ERIC,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.306&je_cd=1&lct_idx=A000000000141668
EAP Ⅳ,金2,C9,20人,PENDLETON STEVEN ALEXIS,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.307&je_cd=1&lct_idx=A000000000141669
EAP Ⅳ,金2,B5,20人,山村　公恵,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.308&je_cd=1&lct_idx=A000000000141670
EAP Ⅳ,金2,C8,20人,RUNNER JACOB WAYNE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.309&je_cd=1&lct_idx=A000000000141671
EAP Ⅳ,金2,D4,20人,CONSOLVO CHARLES GEOFFREY,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.310&je_cd=1&lct_idx=A000000000141672
EAP Ⅳ,金2,D9,20人,家口　美智子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.311&je_cd=1&lct_idx=A000000000141673
EAP Ⅳ,金2,D6,20人,REDDY SREEDEVI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.312&je_cd=1&lct_idx=A000000000141674
EAP Ⅳ,金2,B6,20人,CURRY CARLA JANE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.313&je_cd=1&lct_idx=A000000000141675
EAP Ⅳ,金2,B9,20人,名取　雅航,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.314&je_cd=1&lct_idx=A000000000141676
EAP Ⅳ,木2,B5,20人,河田　英介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.501&je_cd=1&lct_idx=A000000000141677
EAP Ⅳ,木2,B8,20人,RIVKIN MICHAEL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.502&je_cd=1&lct_idx=A000000000141678
EAP Ⅳ,木2,C8,20人,西村　周浩,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.503&je_cd=1&lct_idx=A000000000141679
EAP Ⅳ,木2,D6,20人,REDDY SREEDEVI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.504&je_cd=1&lct_idx=A000000000141680
EAP Ⅳ,木2,C9,20人,小熊　猛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.505&je_cd=1&lct_idx=A000000000141681
EAP Ⅳ,木2,C6,20人,RAKER VINCENT ERIC,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.506&je_cd=1&lct_idx=A000000000141682
EAP Ⅳ,木2,B6,20人,BUTLER TANAKA PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.507&je_cd=1&lct_idx=A000000000141683
EAP Ⅳ,木2,B7,20人,CURRY CARLA JANE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.508&je_cd=1&lct_idx=A000000000141684
EAP Ⅳ,木2,C7,20人,家口　美智子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.509&je_cd=1&lct_idx=A000000000141685
EAP Ⅳ,木2,C4,20人,山村　公恵,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.510&je_cd=1&lct_idx=A000000000141686
EAP Ⅳ,木3,C4,20人,大藪　加奈,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.601&je_cd=1&lct_idx=A000000000141687
EAP Ⅳ,木3,B9,20人,河田　英介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.602&je_cd=1&lct_idx=A000000000141688
EAP Ⅳ,木3,C7,20人,岡本　宜高,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.603&je_cd=1&lct_idx=A000000000141689
EAP Ⅳ,木3,B7,20人,CURRY CARLA JANE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.604&je_cd=1&lct_idx=A000000000141690
EAP Ⅳ,木3,C3,20人,REDDY SREEDEVI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.605&je_cd=1&lct_idx=A000000000141691
EAP Ⅳ,木3,D7,20人,CONSOLVO CHARLES GEOFFREY,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.606&je_cd=1&lct_idx=A000000000141692
EAP Ⅳ,木3,C9,20人,DUGGAN ANTHONY JOHN,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.607&je_cd=1&lct_idx=A000000000141693
EAP Ⅳ,木3,C6,20人,菅野　磨美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.608&je_cd=1&lct_idx=A000000000141694
EAP Ⅳ,木3,C8,20人,家口　美智子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.609&je_cd=1&lct_idx=A000000000141695
EAP Ⅳ,木3,B3,20人,HAMMOND MARK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.610&je_cd=1&lct_idx=A000000000141696
EAP Ⅳ,火2,C7,20人,端野　純江,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.701&je_cd=1&lct_idx=A000000000141697
EAP Ⅳ,火2,D8,20人,大藪　加奈,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.702&je_cd=1&lct_idx=A000000000141698
EAP Ⅳ,火2,C4,20人,家口　美智子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.703&je_cd=1&lct_idx=A000000000141699
EAP Ⅳ,火2,C8,20人,山村　公恵,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.704&je_cd=1&lct_idx=A000000000141700
EAP Ⅳ,火2,C9,20人,菅野　磨美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.705&je_cd=1&lct_idx=A000000000141701
EAP Ⅳ,火2,C6,20人,ダガン　さがの,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.706&je_cd=1&lct_idx=A000000000141702
EAP Ⅳ,火2,B7,20人,RUNNER JACOB WAYNE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.707&je_cd=1&lct_idx=A000000000141703
EAP Ⅳ,月3,C6,20人,久保　拓也,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a01&je_cd=1&lct_idx=A000000000141704
EAP Ⅳ,月3,C7,20人,端野　純江,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a02&je_cd=1&lct_idx=A000000000141705
EAP Ⅳ,月3,D9,20人,宮澤　優樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a03&je_cd=1&lct_idx=A000000000141706
EAP Ⅳ,月3,B8,20人,DUSTIN KEELING,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a04&je_cd=1&lct_idx=A000000000141707
EAP Ⅳ,月3,B5,20人,渋谷　良方,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a05&je_cd=1&lct_idx=A000000000141708
EAP Ⅳ,月3,D6,20人,斉木　麻利子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a06&je_cd=1&lct_idx=A000000000141709
EAP Ⅳ,月3,B6,20人,RIVKIN MICHAEL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a07&je_cd=1&lct_idx=A000000000141710
EAP Ⅳ,月3,D8,20人,山本　卓,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a08&je_cd=1&lct_idx=A000000000141711
EAP Ⅳ,月3,C8,20人,DUGGAN ANTHONY JOHN,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a09&je_cd=1&lct_idx=A000000000141712
EAP Ⅳ,月3,C9,20人,FOX SENAN JAMES,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a10&je_cd=1&lct_idx=A000000000141713
EAP Ⅳ,月3,B9,20人,名取　雅航,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a11&je_cd=1&lct_idx=A000000000141714
EAP Ⅳ,月3,D7,20人,CONSOLVO CHARLES GEOFFREY,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a12&je_cd=1&lct_idx=A000000000141715
EAP Ⅳ,月3,C4,20人,山口　善成,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a13&je_cd=1&lct_idx=A000000000141716
EAP Ⅳ,月3,B7,20人,久保　豊,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.a14&je_cd=1&lct_idx=A000000000141717
EAP Ⅳ,月2,D6,20人,大藪　加奈,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.b01&je_cd=1&lct_idx=A000000000141718
EAP Ⅳ,月2,B5,20人,河田　英介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.b02&je_cd=1&lct_idx=A000000000141719
EAP Ⅳ,月2,B7,20人,RUNNER JACOB WAYNE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.b03&je_cd=1&lct_idx=A000000000141720
EAP Ⅳ,月2,D7,20人,森川　智成,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.b04&je_cd=1&lct_idx=A000000000141721
EAP Ⅳ,金3,D8,20人,宮澤　優樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c01&je_cd=1&lct_idx=A000000000141722
EAP Ⅳ,金3,D6,20人,REDDY SREEDEVI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c02&je_cd=1&lct_idx=A000000000141723
EAP Ⅳ,金3,C6,20人,RAKER VINCENT ERIC,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c03&je_cd=1&lct_idx=A000000000141724
EAP Ⅳ,金3,B7,20人,OGINI ABADA EMEKA HECTOR,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c04&je_cd=1&lct_idx=A000000000141725
EAP Ⅳ,金3,B6,20人,久保　拓也,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c05&je_cd=1&lct_idx=A000000000141726
EAP Ⅳ,金3,C5,20人,DUGGAN ANTHONY JOHN,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c06&je_cd=1&lct_idx=A000000000141727
EAP Ⅳ,金3,B8,20人,MICHAEL SIMON RICH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c07&je_cd=1&lct_idx=A000000000141728
EAP Ⅳ,金3,D7,20人,河田　英介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c08&je_cd=1&lct_idx=A000000000141729
EAP Ⅳ,金3,B5,20人,HAMMOND MARK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c09&je_cd=1&lct_idx=A000000000141730
EAP Ⅳ,金3,C7,20人,西村　周浩,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c10&je_cd=1&lct_idx=A000000000141731
EAP Ⅳ,金3,B9,20人,名取　雅航,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c11&je_cd=1&lct_idx=A000000000141732
EAP Ⅳ,金3,C8,20人,FOX SENAN JAMES,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c12&je_cd=1&lct_idx=A000000000141733
EAP Ⅳ,金3,C9,20人,PENDLETON STEVEN ALEXIS,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.c13&je_cd=1&lct_idx=A000000000141734
EAP Ⅳ,金4,C7,20人,菅野　磨美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.d01&je_cd=1&lct_idx=A000000000141735
EAP Ⅳ,金4,C8,20人,RUNNER JACOB WAYNE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.d02&je_cd=1&lct_idx=A000000000141736
EAP Ⅳ,金4,D6,20人,REDDY SREEDEVI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.d03&je_cd=1&lct_idx=A000000000141737
EAP Ⅳ,金4,C9,20人,PENDLETON STEVEN ALEXIS,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74134.d04&je_cd=1&lct_idx=A000000000141738
EAP（Retake）,火3,C9,40人,菅野　磨美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74135.401&je_cd=1&lct_idx=A000000000141755
EAP（Retake）,火5,C2,40人,家口　美智子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74135.402&je_cd=1&lct_idx=A000000000141756
EAP（Retake）,水5,C2,40人,大藪　加奈,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74135.403&je_cd=1&lct_idx=A000000000141757
EAP（Retake）,木4,D9,40人,森川　智成,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74135.404&je_cd=1&lct_idx=A000000000141758
英語セミナー,木3,C14,20人,西嶋　愉一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74143.018&je_cd=1&lct_idx=A000000000137667
ドイツ語A3－2,水4,B8,30人,早川　文人,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.022&je_cd=1&lct_idx=A000000000137761
ドイツ語A3－2,木3,B2,30人,佐藤　文彦,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.A01&je_cd=1&lct_idx=A000000000137762
ドイツ語A3－2,木3,D1,30人,志村　恵,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.A02&je_cd=1&lct_idx=A000000000137763
ドイツ語A3－2,火3,B6,30人,早川　文人,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.A03&je_cd=1&lct_idx=A000000000137764
ドイツ語A3－2,火2,D13,30人,仲正　昌樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.B01&je_cd=1&lct_idx=A000000000137765
ドイツ語A3－2,火2,C5,30人,早川　文人,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.B02&je_cd=1&lct_idx=A000000000137766
ドイツ語A3－2,木3,B8,30人,髙橋　麻帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.B03&je_cd=1&lct_idx=A000000000137767
ドイツ語A3－2,木4,B9,30人,早川　文人,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.C01&je_cd=1&lct_idx=A000000000137768
ドイツ語A3－2,木4,B8,30人,髙橋　麻帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.C02&je_cd=1&lct_idx=A000000000137769
ドイツ語A3－2,水3,B8,30人,田中　まり,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7421f.C03&je_cd=1&lct_idx=A000000000137770
